平均气温(°C),最高气温(°C),最低气温(°C),平均湿度(%),总降水量(mm),平均风速(km/h),日照时数(h),参考蒸散量ET₀(mm),平均海平面气压(hPa),土壤温度0-7cm(°C),土壤湿度0-7cm(m³/m³),最大阵风(km/h),盛行风向(°),平均云量(%),平均露点温度(°C),日期,年份_int,月份_int,季节
18.73375,30.644999999999996,8.42875,80.21125,9.94,13.059,9.160074988737664,25.27,984.35,19.25625,0.65375,36.81,145.70000000000002,58.6975,14.829999999999998,2009-02-01,2009,2,冬季
17.32625,30.90875,4.6475,78.33125000000001,82.73125,14.769,6.029937095837541,24.645,985.2250000000001,18.22,0.6725,44.7435,77.1375,84.64750000000001,13.141250000000001,2009-03-01,2009,3,春季
21.800000000000004,31.4625,11.52375,78.27000000000001,120.15000000000002,14.278500000000001,6.653599740773598,59.325,982.1749999999998,22.4575,0.69875,34.12799999999999,115.3625,81.63625,17.447499999999998,2009-04-01,2009,4,春季
24.40375,32.2125,16.76,81.0175,195.06750000000005,13.094999999999999,7.124315261360731,94.35624999999999,980.675,25.075000000000003,0.72125,31.590000000000003,123.61249999999998,80.52250000000001,20.645000000000003,2009-05-01,2009,5,春季
26.79,32.51625000000001,19.402499999999996,84.885,225.48750000000004,11.232000000000003,9.415327240577993,120.22500000000001,974.5500000000002,26.928750000000004,0.80375,27.801000000000002,170.4875,80.01749999999998,23.846250000000005,2009-06-01,2009,6,夏季
27.488750000000003,33.2775,22.92375,85.6325,283.22375,12.51,9.79842428228371,163.17625000000004,974.85,27.693749999999998,0.8475,35.802,167.5,76.40875,24.73375,2009-07-01,2009,7,夏季
27.65125,33.877500000000005,20.6075,82.6075,112.53000000000002,10.350000000000001,12.864581803170077,174.41374999999996,976.6875,27.7525,0.8087500000000001,36.108,105.95,63.0725,24.25375,2009-08-01,2009,8,夏季
26.846249999999998,34.13625,18.70375,79.33500000000001,130.35,12.046499999999998,13.132199045077462,155.4,979.5875,27.134999999999998,0.74625,36.522000000000006,57.35,55.05625,22.738750000000003,2009-09-01,2009,9,秋季
23.206250000000004,31.638749999999998,16.56,74.36250000000001,48.16625,11.8035,12.945707056734232,90.9075,984.4124999999999,23.526249999999997,0.6725000000000001,30.249,47.712500000000006,55.713750000000005,17.92625,2009-10-01,2009,10,秋季
15.829999999999998,30.34875,2.9875000000000003,67.39125,28.575000000000003,15.2055,12.636056400113452,30.187499999999996,989.75,16.5075,0.62875,39.118500000000004,40.2375,53.856249999999996,9.16125,2009-11-01,2009,11,秋季
13.129999999999999,24.778750000000002,2.5837499999999998,74.75125,21.7775,13.0905,8.094982014452423,9.183749999999996,990.1125,13.811249999999998,0.5925,39.590999999999994,55.975,78.15,8.31375,2009-12-01,2009,12,冬季
12.635,25.61625,2.3524999999999996,80.00124999999998,104.8575,13.4865,4.156554230569568,13.64,990.7125000000002,13.26,0.66,32.238,55.675000000000004,83.48875,8.963750000000001,2010-01-01,2010,1,冬季
15.4575,30.735,2.76,76.38,9.8,15.547500000000003,7.14629887085766,20.965,985.75,16.37625,0.6537499999999999,41.50350000000001,95.42499999999998,72.1325,10.815,2010-02-01,2010,2,冬季
18.092499999999998,31.021250000000002,4.277500000000001,71.4675,13.175,15.988499999999998,8.279166993119519,15.1125,986.2375,19.0025,0.5812499999999999,41.9625,103.8,73.44125,12.177499999999998,2010-03-01,2010,3,春季
20.58875,32.90375,9.145,78.0675,159.2625,14.8905,5.416641007507006,34.162499999999994,983.9375,21.447499999999998,0.66,34.411500000000004,91.3125,84.9025,16.23,2010-04-01,2010,4,春季
25.361250000000002,32.817499999999995,17.535,81.98875000000001,178.13375,13.194,7.3935645587357275,89.39625,977.8625000000001,25.9375,0.71125,35.419500000000006,154.5375,82.70124999999999,21.801249999999996,2010-05-01,2010,5,春季
25.81375,31.990000000000002,19.01375,87.15625,321.52500000000003,13.005,5.392861392176835,79.2,977.2000000000002,26.049999999999997,0.8125,30.541499999999996,150.9625,93.56625,23.40125,2010-06-01,2010,6,夏季
27.5875,32.70625,23.78375,86.38125,176.39,14.093999999999998,10.955096349946304,133.41625,977.05,27.68125,0.82375,35.577000000000005,166.70000000000002,84.24249999999999,24.984999999999996,2010-07-01,2010,7,夏季
26.875,32.3275,20.985,84.94874999999999,156.70499999999998,10.296000000000001,12.553933217482088,147.28874999999996,979.05,27.062499999999996,0.8450000000000001,24.831000000000003,139.6375,71.17125,24.00375,2010-08-01,2010,8,夏季
25.900000000000002,32.87,18.731250000000003,84.81,206.25,9.9045,11.281858610191323,131.70000000000002,980.1249999999999,26.103749999999998,0.8350000000000001,28.3005,109.36249999999998,70.5825,22.99125,2010-09-01,2010,9,秋季
20.57875,30.21875,8.24875,78.90625,35.37875,15.606,12.735949278529112,117.7225,985.6,20.923750000000002,0.7887500000000001,31.288500000000003,35.387499999999996,60.955,16.53875,2010-10-01,2010,10,秋季
16.853749999999998,26.15,8.925,73.3675,14.55,12.0735,13.433927802763785,59.55000000000001,988.9125,16.95625,0.6837500000000001,25.654500000000002,36.675,50.441250000000004,11.6075,2010-11-01,2010,11,秋季
13.318750000000001,25.18,-1.24375,72.0775,61.535,13.428000000000003,11.111361410272252,24.8775,987.7375000000001,13.52125,0.6687500000000001,40.270500000000006,43.4125,58.8475,7.8412500000000005,2010-12-01,2010,12,冬季
6.715,24.947499999999998,-0.8162499999999998,69.7475,18.8325,16.00425,2.965037870376108,5.6575000000000015,993.7874999999999,8.012500000000001,0.6575,36.7965,31.625,90.8425,1.1512499999999999,2011-01-01,2011,1,冬季
13.994999999999997,27.418750000000003,2.64125,77.13125,31.22,13.0995,5.160077612144032,13.474999999999998,987.075,14.787499999999998,0.64375,32.188500000000005,86.32499999999999,82.39,9.67875,2011-02-01,2011,2,冬季
14.320000000000002,26.6,5.225,74.40249999999999,85.67625,15.241499999999998,3.00770604296843,21.7775,989.8875,15.420000000000002,0.6725,45.126000000000005,45.212500000000006,93.91499999999999,9.402500000000002,2011-03-01,2011,3,春季
